date,price
2024-08-01,882.3400000000003
2024-07-01,872.3999999999999
2024-06-01,877.3600000000001
2024-05-01,875.28
2024-04-01,878.5799999999999
2024-03-01,870.7400000000001
2024-02-01,850.8100000000002
2024-01-01,832.45
2023-12-01,835.7300000000001
2023-11-01,856.0999999999998
2023-10-01,873.0000000000001
2023-09-01,860.0199999999998
2023-08-01,849.09
2023-07-01,851.5899999999998
2023-06-01,867.4100000000002
2023-05-01,867.3200000000002
2023-04-01,853.0499999999997
2023-03-01,852.4100000000001
2023-02-01,852.6199999999998
2023-01-01,826.5000000000003
2022-12-01,804.3800000000001
2022-11-01,830.25
2022-10-01,846.2000000000002
2022-09-01,850.0799999999999
2022-08-01,830.8800000000001
2022-07-01,809.9999999999999
2022-06-01,818.7100000000003
2022-05-01,796.5599999999998
2022-04-01,779.2300000000001
2022-03-01,766.0900000000001
2022-02-01,743.6800000000001
2022-01-01,726.03999999999985
2021-12-01,727.5600000000001
2021-11-01,746.5600000000002
2021-10-01,755.4799999999999
2021-09-01,753.8299999999998
2021-08-01,736.9100000000002
2021-07-01,734.2700000000002
2021-06-01,734.7300000000002
2021-05-01,736.36
2021-04-01,731.93
2021-03-01,705.66
2021-02-01,700.2799999999997
2021-01-01,678.7399999999999
2020-12-01,680.5500000000001
2020-11-01,708.7999999999998
2020-10-01,723.3199999999999
2020-09-01,721.5
2020-08-01,711.2299999999999
2020-07-01,705.6099999999999
2020-06-01,711.31
2020-05-01,714.6999999999997
2020-04-01,711.03
2020-03-01,703.02
2020-02-01,695.17
2020-01-01,686.5600000000001
2019-12-01,680.5099999999999
2019-11-01,700.9200000000001
2019-10-01,709.96000000000015
2019-09-01,716.6
2019-08-01,713.37
2019-07-01,709.6099999999998
2019-06-01,723.6899999999998
2019-05-01,723.3399999999998
2019-04-01,719.5499999999997
2019-03-01,694.8099999999998
2019-02-01,688.1100000000001
2019-01-01,672.3399999999998
2018-12-01,677.0700000000003
2018-11-01,694.5
2018-10-01,704.5999999999999
2018-09-01,710.3900000000002
2018-08-01,705.8100000000001
2018-07-01,707.5300000000001
2018-06-01,711.71
2018-05-01,710.4799999999998
2018-04-01,696.7200000000001
2018-03-01,691.4999999999999
2018-02-01,685.36
2018-01-01,667.83
2017-12-01,670.3600000000002
2017-11-01,693.5200000000001
2017-10-01,698.75
2017-09-01,709.2200000000001
2017-08-01,704.9799999999999
2017-07-01,701.9699999999998
2017-06-01,709.86
2017-05-01,704.8000000000002
2017-04-01,691.72
2017-03-01,681.6
2017-02-01,679.23
2017-01-01,653.2800000000002
2016-12-01,653.3900000000002
2016-11-01,681.1600000000001
2016-10-01,683.9599999999997
2016-09-01,691.5499999999998
2016-08-01,686.5099999999999
2016-07-01,682.37
2016-06-01,690.11
2016-05-01,687.81
2016-04-01,673.7099999999998
2016-03-01,667.17
2016-02-01,650.0300000000001
2016-01-01,639.5600000000002
2015-12-01,652.61
2015-11-01,672.4699999999999
2015-10-01,683.3899999999998
2015-09-01,688.0500000000002
2015-08-01,688.4199999999998
2015-07-01,691.22
2015-06-01,697.0999999999997
2015-05-01,693.3399999999999
2015-04-01,682.2700000000002
2015-03-01,660.5200000000001
2015-02-01,660.76
2015-01-01,647.7099999999999
2014-12-01,647.5100000000004
2014-11-01,662.1999999999998
2014-10-01,678.95
2014-09-01,686.9100000000002
2014-08-01,695.2199999999998
2014-07-01,694.2800000000002
2014-06-01,694.7300000000002
2014-05-01,686.58
2014-04-01,668.1899999999998
2014-03-01,651.8
2014-02-01,641.89
2014-01-01,625.04
2013-12-01,632.9000000000001
2013-11-01,643.68
2013-10-01,657.7300000000001
2013-09-01,663.4799999999999
2013-08-01,667.64
2013-07-01,665.61
2013-06-01,667.4999999999999
2013-05-01,656.5600000000001
2013-04-01,635.6300000000001
2013-03-01,623.27
2013-02-01,619.8700000000001
2013-01-01,610.2900000000002
2012-12-01,618.23
2012-11-01,624.06
2012-10-01,639.5000000000001
2012-09-01,647.8899999999999
2012-08-01,646.81
2012-07-01,644.8800000000002
2012-06-01,651.19
2012-05-01,638.86
2012-04-01,632.6299999999998
2012-03-01,622.0799999999999
2012-02-01,614.4499999999998
2012-01-01,606.2499999999998
2011-12-01,607.1999999999999
2011-11-01,620.2800000000002
2011-10-01,638.1000000000001
2011-09-01,645.86
2011-08-01,643.6000000000001
2011-07-01,640.65
2011-06-01,640.5799999999999
2011-05-01,630.68
2011-04-01,614.84
2011-03-01,606.49
2011-02-01,590.8500000000003
2011-01-01,580.32
2010-12-01,583.8899999999999
2010-11-01,606.89
2010-10-01,619.9000000000001
2010-09-01,625.8400000000001
2010-08-01,632.3100000000001
2010-07-01,628.05
2010-06-01,625.8800000000002
2010-05-01,619.8900000000002
2010-04-01,607.8100000000001
2010-03-01,584.6800000000001
2010-02-01,576.1999999999999
2010-01-01,561.75
