timestamp,n_taxis
2014-07-01T00:00:00Z,10844
2014-07-01T00:30:00Z,8127
2014-07-01T01:00:00Z,6210
2014-07-01T01:30:00Z,4656
2014-07-01T02:00:00Z,3820
2014-07-01T02:30:00Z,2873
2014-07-01T03:00:00Z,2369
2014-07-01T03:30:00Z,2064
2014-07-01T04:00:00Z,2221
2014-07-01T04:30:00Z,2158
2014-07-01T05:00:00Z,2515
2014-07-01T05:30:00Z,4364
2014-07-01T06:00:00Z,6526
2014-07-01T06:30:00Z,11039
2014-07-01T07:00:00Z,13857
2014-07-01T07:30:00Z,15865
2014-07-01T08:00:00Z,17920
2014-07-01T08:30:00Z,20346
2014-07-01T09:00:00Z,19539
2014-07-01T09:30:00Z,20107
2014-07-01T10:00:00Z,18984
2014-07-01T10:30:00Z,17720
2014-07-01T11:00:00Z,17249
2014-07-01T11:30:00Z,18463
2014-07-01T12:00:00Z,18908
2014-07-01T12:30:00Z,18886
2014-07-01T13:00:00Z,18178
2014-07-01T13:30:00Z,19459
2014-07-01T14:00:00Z,19546
2014-07-01T14:30:00Z,20591
2014-07-01T15:00:00Z,19380
2014-07-01T15:30:00Z,18544
2014-07-01T16:00:00Z,16228
2014-07-01T16:30:00Z,15013
2014-07-01T17:00:00Z,17203
2014-07-01T17:30:00Z,19525
2014-07-01T18:00:00Z,22966
2014-07-01T18:30:00Z,27598
2014-07-01T19:00:00Z,26827
2014-07-01T19:30:00Z,24904
2014-07-01T20:00:00Z,22875
2014-07-01T20:30:00Z,20394
2014-07-01T21:00:00Z,23401
2014-07-01T21:30:00Z,24439
2014-07-01T22:00:00Z,23318
2014-07-01T22:30:00Z,21733
2014-07-01T23:00:00Z,20104
2014-07-01T23:30:00Z,16111
2014-07-02T00:00:00Z,13370
2014-07-02T00:30:00Z,9945
2014-07-02T01:00:00Z,7571
2014-07-02T01:30:00Z,5917
2014-07-02T02:00:00Z,4820
2014-07-02T02:30:00Z,3634
2014-07-02T03:00:00Z,2993
2014-07-02T03:30:00Z,2535
