PName,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jayson Tatum,SF,BOS,25,74,52,22,2732.2,2225,727,1559,46.6,240,686,35,531,622,85.4,78,571,649,342,213,78,51,160,3691,31,1,470
Joel Embiid,C,PHI,29,66,43,23,2284.1,2183,728,1328,54.8,66,200,33,661,771,85.7,113,557,670,274,226,66,112,205,3706,39,1,424
Luka Doncic,PG,DAL,24,66,33,33,2390.5,2138,719,1449,49.6,185,541,34.2,515,694,74.2,54,515,569,529,236,90,33,166,3747,36,10,128
Shai Gilgeous-Alexander,PG,OKC,24,68,33,35,2416,2135,704,1381,51,58,168,34.5,669,739,90.5,59,270,329,371,192,112,65,192,3425,3,0,149
Giannis Antetokounmpo,PF,MIL,28,63,47,16,2023.6,1959,707,1278,55.3,47,171,27.5,498,772,64.5,137,605,742,359,246,52,51,197,3451,46,6,341
Anthony Edwards,SG,MIN,21,79,40,39,2841.5,1946,707,1541,45.9,213,578,36.9,319,422,75.6,47,411,458,350,259,125,58,186,3311,9,0,97
Julius Randle,PF,NYK,28,77,44,33,2737.3,1936,658,1432,45.9,218,636,34.3,402,531,75.7,141,626,767,316,216,49,21,233,3324,40,0,170
Donovan Mitchell,SG,CLE,26,68,44,24,2432.4,1922,679,1402,48.4,245,635,38.6,319,368,86.7,63,226,289,301,180,99,27,168,2918,5,0,338
Trae Young,PG,ATL,24,73,38,35,2540.7,1914,597,1390,42.9,154,460,33.5,566,639,88.6,56,161,217,741,300,80,9,104,3253,40,0,100
Zach LaVine,SG,CHI,28,77,38,39,2767.9,1913,673,1388,48.5,204,544,37.5,363,428,84.8,42,303,345,327,194,69,18,159,2885,2,0,18
Damian Lillard,PG,POR,32,58,27,31,2106.6,1866,556,1202,46.3,244,658,37.1,510,558,91.4,44,233,277,425,191,50,18,109,2849,16,2,105
De'Aaron Fox,PG,SAC,25,73,44,29,2435.2,1826,682,1331,51.2,119,367,32.4,343,440,78,40,266,306,447,181,83,23,172,3001,11,0,176
DeMar DeRozan,SF,CHI,33,74,37,37,2681.6,1816,657,1303,50.4,46,142,32.4,456,523,87.2,34,309,343,377,153,83,36,186,2997,6,0,67
Jaylen Brown,SG,BOS,26,67,46,21,2404.9,1784,679,1383,49.1,163,487,33.5,263,344,76.5,78,381,459,232,197,75,26,172,2789,13,0,256
Pascal Siakam,PF,TOR,29,71,35,36,2652,1720,630,1313,48,93,287,32.4,367,474,77.4,131,425,556,415,169,65,36,228,3144,24,2,123
Lauri Markkanen,PF,UTA,25,66,32,34,2272.5,1691,571,1144,49.9,200,510,39.2,349,399,87.5,130,440,570,123,127,42,38,137,2673,28,0,163
Nikola Jokic,C,DEN,28,69,48,21,2323,1690,646,1022,63.2,57,149,38.3,341,415,82.2,167,650,817,678,247,87,47,174,3842,58,29,640
Jalen Green,SG,HOU,21,76,20,56,2602.2,1683,566,1359,41.6,187,554,33.8,364,463,78.6,43,241,284,281,200,59,18,131,2476,0,0,-447
Jordan Poole,SG,GSW,23,82,44,38,2458.1,1675,550,1278,43,214,637,33.6,361,415,87,32,193,225,369,252,63,21,214,2499,1,0,-11
Mikal Bridges,SF,BKN,26,83,42,41,2963.2,1671,593,1267,46.8,169,442,38.2,316,353,89.5,79,285,364,273,127,91,61,159,2846,2,0,36
Stephen Curry,PG,GSW,35,56,30,26,1941.2,1648,559,1133,49.3,273,639,42.7,257,281,91.5,39,302,341,352,179,52,20,117,2622,12,1,268
Jalen Brunson,PG,NYK,26,68,40,28,2378.7,1633,587,1195,49.1,134,322,41.6,325,392,82.9,40,201,241,421,142,61,15,152,2640,5,0,152
Kyrie Irving,PG,DAL,31,60,32,28,2240.6,1623,594,1203,49.4,188,496,37.9,247,273,90.5,59,245,304,331,128,66,45,165,2689,5,0,222
Ja Morant,PG,MEM,23,61,40,21,1948.3,1596,566,1214,46.6,92,300,30.7,372,497,74.8,61,296,357,493,206,66,16,100,2804,20,7,302
LeBron James,SF,LAL,38,55,30,25,1953.9,1590,609,1219,50,121,377,32.1,251,327,76.8,65,392,457,375,178,50,32,88,2769,18,2,214
C.J. McCollum,SG,NOP,31,75,38,37,2649.2,1568,587,1344,43.7,211,543,38.9,183,238,76.9,55,273,328,429,183,70,38,153,2746,6,0,59
Bam Adebayo,C,MIA,25,75,40,35,2598,1529,602,1114,54,1,12,8.3,324,402,80.6,184,504,688,240,187,88,61,208,2975,31,0,117
Dejounte Murray,SG,ATL,26,74,38,36,2693.4,1515,612,1319,46.4,133,387,34.4,158,190,83.2,53,336,389,448,160,112,19,106,2887,8,1,-62
Domantas Sabonis,PF,SAC,26,79,47,32,2735.6,1510,577,938,61.5,31,83,37.3,325,438,74.2,251,722,973,573,230,65,39,279,3619,65,14,212
Klay Thompson,SG,GSW,33,69,38,31,2278.9,1509,546,1252,43.6,301,731,41.2,116,132,87.9,39,247,286,163,123,49,29,130,2208,2,0,163
Kristaps Porzingis,C,WAS,27,65,27,38,2119.5,1505,507,1018,49.8,137,356,38.5,354,416,85.1,114,432,546,174,137,58,100,196,2758,20,0,80
Darius Garland,PG,CLE,23,69,40,29,2447.2,1490,522,1129,46.2,169,412,41,277,321,86.3,28,157,185,538,199,85,9,148,2602,18,0,438
Franz Wagner,SF,ORL,21,80,33,47,2608.7,1485,542,1118,48.5,130,360,36.1,271,322,84.2,70,259,329,283,167,77,17,183,2419,2,0,50
Devin Booker,SG,PHX,26,53,34,19,1835.4,1471,527,1067,49.4,111,316,35.1,306,358,85.5,46,194,240,293,145,51,18,159,2261,5,0,247
Jimmy Butler,SF,MIA,33,64,35,29,2138,1466,479,888,53.9,36,103,35,472,555,85,141,234,375,340,101,117,21,80,2739,11,0,47
Anthony Davis,PF,LAL,30,56,31,25,1904.5,1451,542,962,56.3,19,74,25.7,348,444,78.4,195,507,702,148,122,59,114,146,2912,40,0,205
Nikola Vucevic,C,CHI,32,82,40,42,2746.4,1447,597,1148,52,121,347,34.9,132,158,83.5,159,744,903,265,139,60,57,179,3140,51,1,-20
Paolo Banchero,PF,ORL,20,72,31,41,2429.7,1437,479,1122,42.7,85,285,29.8,394,534,73.8,84,413,497,269,200,60,39,160,2534,14,0,-215
R.J. Barrett,SG,NYK,22,73,40,33,2475.5,1431,510,1176,43.4,121,390,31,290,392,74,60,308,368,201,164,31,15,179,2148,3,0,-62
